#  scale/GeV      gY           g2           g3           Lambdax      Yu(0,0)      Yu(0,1)      Yu(0,2)      Yu(1,0)      Yu(1,1)     Yu(1,2)     Yu(2,0)     Yu(2,1)     Yu(2,2)     Yd(0,0)     Yd(0,1)     Yd(0,2)     Yd(1,0)     Yd(1,1)     Yd(1,2)     Yd(2,0)     Yd(2,1)     Yd(2,2)     Ye(0,0)     Ye(0,1)     Ye(0,2)     Ye(1,0)     Ye(1,1)     Ye(1,2)     Ye(2,0)     Ye(2,1)     Ye(2,2)     mu2/GeV^2         v/GeV          
212985          0.482657        0.613023        0.849592        0.0853279       5.3976e-06      0               0               0               0.00246698      0               0               0               0.702808        -1.08032e-05    0               0               0               -0.000236532    0               0               0               -0.0107396      -2.95744e-06    0               0               0               -0.000611504    0               0               0               -0.0103058      9904.76         239.849         
308141          0.483752        0.61136         0.839573        0.0801876       5.32766e-06     0               0               0               0.00243501      0               0               0               0.694943        -1.06667e-05    0               0               0               -0.000233544    0               0               0               -0.0105851      -2.95839e-06    0               0               0               -0.0006117      0               0               0               -0.0103091      9942.13         239.716         
445811          0.484854        0.60971         0.829904        0.0752635       5.26007e-06     0               0               0               0.00240412      0               0               0               0.687327        -1.05348e-05    0               0               0               -0.000230656    0               0               0               -0.0104362      -2.95911e-06    0               0               0               -0.000611851    0               0               0               -0.0103117      9977.54         239.599         
644987          0.485963        0.608072        0.820565        0.070544        5.19469e-06     0               0               0               0.00237424      0               0               0               0.679946        -1.04073e-05    0               0               0               -0.000227865    0               0               0               -0.0102924      -2.95963e-06    0               0               0               -0.000611958    0               0               0               -0.0103135      10011.1         239.497         
933151          0.487079        0.606447        0.811538        0.0660186       5.13141e-06     0               0               0               0.00234532      0               0               0               0.672787        -1.02839e-05    0               0               0               -0.000225163    0               0               0               -0.0101535      -2.95995e-06    0               0               0               -0.000612024    0               0               0               -0.0103146      10042.8         239.41          
1.35006e+06     0.488203        0.604835        0.802805        0.0616776       5.0701e-06      0               0               0               0.0023173       0               0               0               0.665838        -1.01644e-05    0               0               0               -0.000222547    0               0               0               -0.0100193      -2.96008e-06    0               0               0               -0.00061205     0               0               0               -0.010315       10072.8         239.336         
1.95323e+06     0.489335        0.603234        0.794351        0.0575119       5.01066e-06     0               0               0               0.00229013      0               0               0               0.659088        -1.00486e-05    0               0               0               -0.000220012    0               0               0               -0.00988945     -2.96001e-06    0               0               0               -0.000612037    0               0               0               -0.0103148      10101.1         239.276         
2.82588e+06     0.490474        0.601646        0.786161        0.0535132       4.95299e-06     0               0               0               0.00226377      0               0               0               0.652526        -9.93629e-06    0               0               0               -0.000217552    0               0               0               -0.00976371     -2.95978e-06    0               0               0               -0.000611988    0               0               0               -0.010314       10127.7         239.229         
4.08841e+06     0.491622        0.600069        0.778221        0.0496735       4.897e-06       0               0               0               0.00223818      0               0               0               0.646144        -9.82727e-06    0               0               0               -0.000215165    0               0               0               -0.0096419      -2.95937e-06    0               0               0               -0.000611903    0               0               0               -0.0103126      10152.8         239.193         
5.915e+06       0.492777        0.598505        0.77052         0.0459855       4.8426e-06      0               0               0               0.00221332      0               0               0               0.639931        -9.7214e-06     0               0               0               -0.000212847    0               0               0               -0.00952379     -2.95879e-06    0               0               0               -0.000611784    0               0               0               -0.0103106      10176.4         239.169         
8.55767e+06     0.49394         0.596952        0.763045        0.0424425       4.78972e-06     0               0               0               0.00218915      0               0               0               0.633881        -9.61851e-06    0               0               0               -0.000210595    0               0               0               -0.00940922     -2.95806e-06    0               0               0               -0.000611633    0               0               0               -0.010308       10198.5         239.156         
1.2381e+07      0.495111        0.595411        0.755785        0.0390381       4.73828e-06     0               0               0               0.00216564      0               0               0               0.627985        -9.51847e-06    0               0               0               -0.000208404    0               0               0               -0.00929799     -2.95717e-06    0               0               0               -0.00061145     0               0               0               -0.010305       10219.3         239.154         
1.79125e+07     0.496291        0.593881        0.74873         0.0357663       4.68821e-06     0               0               0               0.00214276      0               0               0               0.622235        -9.42113e-06    0               0               0               -0.000206273    0               0               0               -0.00918995     -2.95614e-06    0               0               0               -0.000611236    0               0               0               -0.0103014      10238.6         239.161         
2.59154e+07     0.497478        0.592362        0.741871        0.0326213       4.63946e-06     0               0               0               0.00212047      0               0               0               0.616626        -9.32638e-06    0               0               0               -0.000204198    0               0               0               -0.00908496     -2.95497e-06    0               0               0               -0.000610994    0               0               0               -0.0102973      10256.7         239.179         
3.74937e+07     0.498675        0.590855        0.735198        0.0295981       4.59196e-06     0               0               0               0.00209876      0               0               0               0.611152        -9.23408e-06    0               0               0               -0.000202178    0               0               0               -0.00898286     -2.95366e-06    0               0               0               -0.000610722    0               0               0               -0.0102927      10273.4         239.205         
5.42449e+07     0.499879        0.589359        0.728704        0.0266915       4.54565e-06     0               0               0               0.0020776       0               0               0               0.605805        -9.14415e-06    0               0               0               -0.000200209    0               0               0               -0.00888352     -2.95221e-06    0               0               0               -0.000610424    0               0               0               -0.0102877      10289           239.241         
7.84801e+07     0.501093        0.587874        0.72238         0.0238968       4.50049e-06     0               0               0               0.00205695      0               0               0               0.600581        -9.05646e-06    0               0               0               -0.000198289    0               0               0               -0.00878682     -2.95064e-06    0               0               0               -0.000610098    0               0               0               -0.0102822      10303.4         239.285         
1.13543e+08     0.502315        0.586399        0.71622         0.0212097       4.45642e-06     0               0               0               0.00203681      0               0               0               0.595475        -8.97093e-06    0               0               0               -0.000196416    0               0               0               -0.00869265     -2.94894e-06    0               0               0               -0.000609747    0               0               0               -0.0102763      10316.6         239.338         
1.64271e+08     0.503546        0.584935        0.710216        0.0186258       4.4134e-06      0               0               0               0.00201715      0               0               0               0.590482        -8.88747e-06    0               0               0               -0.000194589    0               0               0               -0.0086009      -2.94712e-06    0               0               0               -0.000609372    0               0               0               -0.01027        10328.7         239.398         
2.37663e+08     0.504786        0.583482        0.704361        0.0161412       4.37138e-06     0               0               0               0.00199794      0               0               0               0.585596        -8.80598e-06    0               0               0               -0.000192804    0               0               0               -0.00851145     -2.94519e-06    0               0               0               -0.000608972    0               0               0               -0.0102632      10339.7         239.466         
3.43845e+08     0.506035        0.58204         0.69865         0.0137522       4.33032e-06     0               0               0               0.00197918      0               0               0               0.580815        -8.72639e-06    0               0               0               -0.000191062    0               0               0               -0.00842422     -2.94314e-06    0               0               0               -0.000608549    0               0               0               -0.0102561      10349.7         239.542         
4.97465e+08     0.507293        0.580607        0.693076        0.0114552       4.29019e-06     0               0               0               0.00196084      0               0               0               0.576133        -8.64862e-06    0               0               0               -0.000189359    0               0               0               -0.00833912     -2.94099e-06    0               0               0               -0.000608103    0               0               0               -0.0102486      10358.7         239.625         
7.1972e+08      0.508561        0.579185        0.687635        0.00924663      4.25095e-06     0               0               0               0.0019429       0               0               0               0.571547        -8.5726e-06     0               0               0               -0.000187695    0               0               0               -0.00825606     -2.93872e-06    0               0               0               -0.000607635    0               0               0               -0.0102407      10366.7         239.715         
1.04127e+09     0.509838        0.577773        0.682321        0.00712339      4.21256e-06     0               0               0               0.00192536      0               0               0               0.567054        -8.49826e-06    0               0               0               -0.000186067    0               0               0               -0.00817495     -2.93636e-06    0               0               0               -0.000607146    0               0               0               -0.0102325      10373.8         239.812         
1.50648e+09     0.511124        0.576371        0.677129        0.00508234      4.175e-06       0               0               0               0.00190819      0               0               0               0.562649        -8.42554e-06    0               0               0               -0.000184475    0               0               0               -0.00809573     -2.93389e-06    0               0               0               -0.000606636    0               0               0               -0.0102239      10380           239.915         
2.17954e+09     0.51242         0.574979        0.672055        0.00312056      4.13822e-06     0               0               0               0.00189138      0               0               0               0.55833         -8.35438e-06    0               0               0               -0.000182917    0               0               0               -0.00801831     -2.93133e-06    0               0               0               -0.000606106    0               0               0               -0.0102149      10385.3         240.024         
3.1533e+09      0.513726        0.573597        0.667094        0.00123523      4.10221e-06     0               0               0               0.00187492      0               0               0               0.554093        -8.28472e-06    0               0               0               -0.000181392    0               0               0               -0.00794264     -2.92867e-06    0               0               0               -0.000605556    0               0               0               -0.0102057      10389.7         240.14          
4.56212e+09     0.515042        0.572225        0.662242        -0.000576329    4.06693e-06     0               0               0               0.0018588       0               0               0               0.549936        -8.2165e-06     0               0               0               -0.000179898    0               0               0               -0.00786864     -2.92592e-06    0               0               0               -0.000604987    0               0               0               -0.0101961      10393.3         240.261         
6.60035e+09     0.516368        0.570862        0.657495        -0.00231668     4.03236e-06     0               0               0               0.001843        0               0               0               0.545856        -8.14968e-06    0               0               0               -0.000178435    0               0               0               -0.00779626     -2.92308e-06    0               0               0               -0.0006044      0               0               0               -0.0101862      10396.1         240.389         
9.54922e+09     0.517704        0.569508        0.652849        -0.00398827     3.99847e-06     0               0               0               0.00182751      0               0               0               0.54185         -8.0842e-06     0               0               0               -0.000177001    0               0               0               -0.00772543     -2.92015e-06    0               0               0               -0.000603794    0               0               0               -0.010176       10398.1         240.521         
1.38156e+10     0.519051        0.568164        0.648301        -0.00559345     3.96524e-06     0               0               0               0.00181232      0               0               0               0.537915        -8.02002e-06    0               0               0               -0.000175596    0               0               0               -0.0076561      -2.91714e-06    0               0               0               -0.000603171    0               0               0               -0.0101655      10399.4         240.66          
