# scale           Yd(0,0)         Yd(0,1)         Yd(0,2)         Yd(1,0)         Yd(1,1)         Yd(1,2)         Yd(2,0)         Yd(2,1)         Yd(2,2)         Ye(0,0)         Ye(0,1)         Ye(0,2)         Ye(1,0)         Ye(1,1)         Ye(1,2)         Ye(2,0)         Ye(2,1)         Ye(2,2)         Yu(0,0)         Yu(0,1)         Yu(0,2)         Yu(1,0)         Yu(1,1)         Yu(1,2)         Yu(2,0)         Yu(2,1)         Yu(2,2)         Mu              g1              g2              g3              vd              vu              TYd(0,0)        TYd(0,1)        TYd(0,2)        TYd(1,0)        TYd(1,1)        TYd(1,2)        TYd(2,0)        TYd(2,1)        TYd(2,2)        TYe(0,0)        TYe(0,1)        TYe(0,2)        TYe(1,0)        TYe(1,1)        TYe(1,2)        TYe(2,0)        TYe(2,1)        TYe(2,2)        TYu(0,0)        TYu(0,1)        TYu(0,2)        TYu(1,0)        TYu(1,1)        TYu(1,2)        TYu(2,0)        TYu(2,1)        TYu(2,2)        BMu             mq2(0,0)        mq2(0,1)        mq2(0,2)        mq2(1,0)        mq2(1,1)        mq2(1,2)        mq2(2,0)        mq2(2,1)        mq2(2,2)        ml2(0,0)        ml2(0,1)        ml2(0,2)        ml2(1,0)        ml2(1,1)        ml2(1,2)        ml2(2,0)        ml2(2,1)        ml2(2,2)        mHd2            mHu2            md2(0,0)        md2(0,1)        md2(0,2)        md2(1,0)        md2(1,1)        md2(1,2)        md2(2,0)        md2(2,1)        md2(2,2)        mu2(0,0)        mu2(0,1)        mu2(0,2)        mu2(1,0)        mu2(1,1)        mu2(1,2)        mu2(2,0)        mu2(2,1)        mu2(2,2)        me2(0,0)        me2(0,1)        me2(0,2)        me2(1,0)        me2(1,1)        me2(1,2)        me2(2,0)        me2(2,1)        me2(2,2)        MassB           MassWB          MassG           
2461.6          0.000134516     0               0               0               0.00294519      0               0               0               0.127674        2.85553e-05     0               0               0               0.00590433      0               0               0               0.099532        7.08022e-06     0               0               0               0.00323603      0               0               0               0.844304        634.246         0.472459        0.645112        1.04024         25.2041         240.359         -0.176062       0               0               0               -3.85482        0               0               0               -156.569        -0.00837081     0               0               0               -1.73079        0               0               0               -29.026         -0.00763815     0               0               0               -3.49101        0               0               0               -711.387        42224.2         947101          0               0               0               947096          0               0               0               808310          123140          0               0               0               123137          0               0               0               122476          109800          -329781         863367          0               0               0               863363          0               0               0               855453          872404          0               0               0               872399          0               0               0               596249          48999.5         0               0               0               48994.7         0               0               0               47644.9         213.762         392.02          1070.51         
3422.51         0.000132563     0               0               0               0.00290243      0               0               0               0.126016        2.84613e-05     0               0               0               0.0058849       0               0               0               0.0992106       7.00705e-06     0               0               0               0.00320258      0               0               0               0.83927         635.387         0.473946        0.645788        1.0335          25.2372         239.611         -0.169891       0               0               0               -3.71971        0               0               0               -151.427        -0.00828349     0               0               0               -1.71273        0               0               0               -28.7275        -0.0074207      0               0               0               -3.39163        0               0               0               -696.658        38506.9         919694          0               0               0               919690          0               0               0               786013          122384          0               0               0               122381          0               0               0               121735          109761          -313617         836375          0               0               0               836371          0               0               0               828894          845423          0               0               0               845419          0               0               0               579293          48904.9         0               0               0               48900.2         0               0               0               47580.7         215.218         393.15          1057.12         
4758.53         0.000130657     0               0               0               0.00286071      0               0               0               0.124394        2.83673e-05     0               0               0               0.00586546      0               0               0               0.0988889       6.93527e-06     0               0               0               0.00316977      0               0               0               0.834299        636.489         0.475446        0.646465        1.02689         25.2706         238.879         -0.163966       0               0               0               -3.58999        0               0               0               -146.479        -0.00819579     0               0               0               -1.6946         0               0               0               -28.4276        -0.00721047     0               0               0               -3.29554        0               0               0               -682.295        34923.6         893271          0               0               0               893267          0               0               0               764515          121620          0               0               0               121617          0               0               0               120985          109672          -298088         810383          0               0               0               810379          0               0               0               803310          819441          0               0               0               819437          0               0               0               562979          48808.3         0               0               0               48803.7         0               0               0               47514.2         216.689         394.277         1044.05         
6616.08         0.000128797     0               0               0               0.00281998      0               0               0               0.122809        2.82731e-05     0               0               0               0.005846        0               0               0               0.0985668       6.86482e-06     0               0               0               0.00313758      0               0               0               0.829387        637.552         0.47696         0.647143        1.0204          25.3042         238.163         -0.158276       0               0               0               -3.4654         0               0               0               -141.715        -0.00810773     0               0               0               -1.6764         0               0               0               -28.1263        -0.00700713     0               0               0               -3.20261        0               0               0               -668.28         31471.3         867783          0               0               0               867779          0               0               0               743776          120847          0               0               0               120845          0               0               0               120228          109537          -283167         785342          0               0               0               785338          0               0               0               778654          794407          0               0               0               794403          0               0               0               547277          48709.6         0               0               0               48705.1         0               0               0               47445.2         218.176         395.402         1031.3          
9198.76         0.00012698      0               0               0               0.00278021      0               0               0               0.121257        2.8179e-05      0               0               0               0.00582653      0               0               0               0.0982445       6.79567e-06     0               0               0               0.00310597      0               0               0               0.824534        638.576         0.478489        0.647823        1.01403         25.338          237.462         -0.152807       0               0               0               -3.34567        0               0               0               -137.126        -0.00801934     0               0               0               -1.65812        0               0               0               -27.8237        -0.00681036     0               0               0               -3.11267        0               0               0               -654.599        28146.8         843184          0               0               0               843181          0               0               0               723757          120067          0               0               0               120065          0               0               0               119462          109358          -268826         761206          0               0               0               761203          0               0               0               754880          770277          0               0               0               770273          0               0               0               532154          48608.8         0               0               0               48604.4         0               0               0               47373.7         219.68          396.525         1018.86         
12789.6         0.000125206     0               0               0               0.00274136      0               0               0               0.119739        2.80847e-05     0               0               0               0.00580704      0               0               0               0.0979218       6.72776e-06     0               0               0               0.00307493      0               0               0               0.819736        639.562         0.480032        0.648504        1.00778         25.3719         236.777         -0.14755        0               0               0               -3.23057        0               0               0               -132.703        -0.00793063     0               0               0               -1.63978        0               0               0               -27.5199        -0.00661986     0               0               0               -3.02561        0               0               0               -641.235        24947.1         819433          0               0               0               819429          0               0               0               704423          119279          0               0               0               119277          0               0               0               118688          109136          -255040         737932          0               0               0               737929          0               0               0               731949          747008          0               0               0               747004          0               0               0               517580          48505.7         0               0               0               48501.5         0               0               0               47299.7         221.201         397.645         1006.71         
17782.2         0.000123473     0               0               0               0.00270341      0               0               0               0.118254        2.79904e-05     0               0               0               0.00578754      0               0               0               0.0975989       6.66107e-06     0               0               0               0.00304445      0               0               0               0.814992        640.511         0.48159         0.649186        1.00164         25.4061         236.107         -0.142495       0               0               0               -3.11988        0               0               0               -128.44         -0.00784163     0               0               0               -1.62138        0               0               0               -27.215         -0.00643536     0               0               0               -2.94128        0               0               0               -628.175        21869.5         796488          0               0               0               796485          0               0               0               685742          118483          0               0               0               118481          0               0               0               117906          108876          -241785         715480          0               0               0               715477          0               0               0               709820          724558          0               0               0               724555          0               0               0               503528          48400.5         0               0               0               48396.3         0               0               0               47223           222.739         398.765         994.839         
24723.7         0.000121779     0               0               0               0.00266632      0               0               0               0.116799        2.78961e-05     0               0               0               0.00576803      0               0               0               0.0972756       6.59555e-06     0               0               0               0.00301451      0               0               0               0.8103          641.423         0.483163        0.64987         0.995613        25.4405         235.452         -0.137631       0               0               0               -3.01338        0               0               0               -124.328        -0.00775234     0               0               0               -1.60292        0               0               0               -26.909         -0.00625658     0               0               0               -2.85957        0               0               0               -615.405        18911.3         774313          0               0               0               774310          0               0               0               667681          117679          0               0               0               117677          0               0               0               117116          108577          -229039         693812          0               0               0               693809          0               0               0               688456          702891          0               0               0               702888          0               0               0               489973          48292.9         0               0               0               48288.9         0               0               0               47143.7         224.296         399.882         983.246         
34374.9         0.000120123     0               0               0               0.00263007      0               0               0               0.115375        2.78016e-05     0               0               0               0.00574851      0               0               0               0.0969522       6.53116e-06     0               0               0               0.00298508      0               0               0               0.805658        642.298         0.484751        0.650555        0.989689        25.4751         234.81          -0.132949       0               0               0               -2.91088        0               0               0               -120.36         -0.0076628      0               0               0               -1.5844         0               0               0               -26.6019        -0.00608329     0               0               0               -2.78037        0               0               0               -602.913        16069.8         752871          0               0               0               752868          0               0               0               650212          116867          0               0               0               116865          0               0               0               116318          108243          -216780         672891          0               0               0               672888          0               0               0               667824          681969          0               0               0               681966          0               0               0               476889          48183           0               0               0               48179.1         0               0               0               47061.6         225.87          400.999         971.919         
47793.6         0.000118504     0               0               0               0.00259462      0               0               0               0.11398         2.77072e-05     0               0               0               0.00572898      0               0               0               0.0966284       6.46787e-06     0               0               0               0.00295615      0               0               0               0.801064        643.137         0.486355        0.651241        0.983868        25.5099         234.183         -0.128441       0               0               0               -2.81217        0               0               0               -116.531        -0.00757301     0               0               0               -1.56584        0               0               0               -26.2939        -0.00591523     0               0               0               -2.70356        0               0               0               -590.686        13342.6         732129          0               0               0               732126          0               0               0               633306          116047          0               0               0               116045          0               0               0               115511          107874          -204989         652684          0               0               0               652681          0               0               0               647889          661760          0               0               0               661757          0               0               0               464253          48070.7         0               0               0               48066.9         0               0               0               46976.8         227.463         402.114         960.848         
66450.4         0.00011692      0               0               0               0.00255995      0               0               0               0.112612        2.76126e-05     0               0               0               0.00570944      0               0               0               0.0963044       6.40565e-06     0               0               0               0.00292771      0               0               0               0.796516        643.94          0.487975        0.651929        0.978147        25.5448         233.57          -0.124098       0               0               0               -2.7171         0               0               0               -112.834        -0.007483       0               0               0               -1.54723        0               0               0               -25.985         -0.00575219     0               0               0               -2.62904        0               0               0               -578.713        10727.3         712055          0               0               0               712052          0               0               0               616937          115219          0               0               0               115217          0               0               0               114696          107473          -193647         633158          0               0               0               633156          0               0               0               628620          642230          0               0               0               642228          0               0               0               452044          47956           0               0               0               47952.2         0               0               0               46889.1         229.075         403.228         950.025         
92390.2         0.000115371     0               0               0               0.00252603      0               0               0               0.111273        2.75181e-05     0               0               0               0.00568988      0               0               0               0.0959802       6.34445e-06     0               0               0               0.00289974      0               0               0               0.792013        644.707         0.489611        0.652618        0.972523        25.58           232.97          -0.119914       0               0               0               -2.62549        0               0               0               -109.262        -0.00739276     0               0               0               -1.52857        0               0               0               -25.6752        -0.00559396     0               0               0               -2.55672        0               0               0               -566.984        8221.6          692619          0               0               0               692616          0               0               0               601079          114382          0               0               0               114381          0               0               0               113873          107041          -182736         614284          0               0               0               614282          0               0               0               609989          623351          0               0               0               623348          0               0               0               440241          47838.7         0               0               0               47835           0               0               0               46798.6         230.707         404.342         939.442         
128456          0.000113855     0               0               0               0.00249284      0               0               0               0.109959        2.74235e-05     0               0               0               0.00567032      0               0               0               0.0956557       6.28426e-06     0               0               0               0.00287223      0               0               0               0.787553        645.44          0.491263        0.653309        0.966994        25.6154         232.383         -0.115881       0               0               0               -2.53718        0               0               0               -105.811        -0.00730233     0               0               0               -1.50987        0               0               0               -25.3645        -0.00544033     0               0               0               -2.48651        0               0               0               -555.488        5823.23         673792          0               0               0               673790          0               0               0               585711          113538          0               0               0               113536          0               0               0               113042          106578          -172240         596032          0               0               0               596030          0               0               0               591968          605092          0               0               0               605089          0               0               0               428824          47718.8         0               0               0               47715.2         0               0               0               46705           232.359         405.455         929.09          
178600          0.000112371     0               0               0               0.00246035      0               0               0               0.108672        2.73288e-05     0               0               0               0.00565075      0               0               0               0.095331        6.22504e-06     0               0               0               0.00284516      0               0               0               0.783134        646.137         0.492931        0.654001        0.961557        25.651          231.81          -0.111992       0               0               0               -2.45203        0               0               0               -102.475        -0.00721171     0               0               0               -1.49114        0               0               0               -25.0532        -0.00529112     0               0               0               -2.41831        0               0               0               -544.216        3530.09         655549          0               0               0               655547          0               0               0               570808          112686          0               0               0               112684          0               0               0               112202          106088          -162142         578376          0               0               0               578374          0               0               0               574529          587427          0               0               0               587425          0               0               0               417775          47596.2         0               0               0               47592.8         0               0               0               46608.5         234.032         406.568         918.963         
248319          0.000110919     0               0               0               0.00242854      0               0               0               0.107409        2.72341e-05     0               0               0               0.00563117      0               0               0               0.095006        6.16676e-06     0               0               0               0.00281853      0               0               0               0.778756        646.801         0.494617        0.654695        0.956209        25.6868         231.249         -0.10824        0               0               0               -2.36988        0               0               0               -99.2498        -0.00712091     0               0               0               -1.47236        0               0               0               -24.741         -0.00514615     0               0               0               -2.35205        0               0               0               -533.158        1340.11         637862          0               0               0               637860          0               0               0               556351          111825          0               0               0               111823          0               0               0               111354          105570          -152428         561290          0               0               0               561288          0               0               0               557649          570331          0               0               0               570328          0               0               0               407077          47471           0               0               0               47467.6         0               0               0               46508.8         235.726         407.681         909.054         
345254          0.000109496     0               0               0               0.0023974       0               0               0               0.10617         2.71394e-05     0               0               0               0.00561158      0               0               0               0.0946809       6.10939e-06     0               0               0               0.00279231      0               0               0               0.774416        647.43          0.49632         0.65539         0.950948        25.7227         230.7           -0.10462        0               0               0               -2.29062        0               0               0               -96.1299        -0.00702994     0               0               0               -1.45355        0               0               0               -24.4282        -0.00500524     0               0               0               -2.28765        0               0               0               -522.305        -748.687        620709          0               0               0               620707          0               0               0               542320          110956          0               0               0               110954          0               0               0               110497          105026          -143083         544750          0               0               0               544748          0               0               0               541304          553779          0               0               0               553776          0               0               0               396713          47342.9         0               0               0               47339.6         0               0               0               46405.9         237.441         408.794         899.354         
